dolar amerykañski;USD;4.384;4.4726
dolar australijski;AUD;2.9552;3.015
dolar kanadyjski;CAD;3.2246;3.2898
euro;EUR;4.662;4.7562
forint (Wêgry);HUF;0.012362;0.012612
frank szwajcarski;CHF;4.6862;4.7808
funt szterling;GBP;5.3201;5.4275
jen (Japonia);JPY;0.032065;0.032713
korona czeska;CZK;0.1984;0.2024
korona duñska;DKK;0.6264;0.639
korona norweska;NOK;0.4246;0.4332
korona szwedzka;SEK;0.4207;0.4293
SDR (MFW);XDR;5.8586;5.977
